plot_id,x,y,project_id,Strata
802,125820,2766420,1211,99
803,-2186040,1602600,1211,99
804,-418620,2070030,1211,99
805,731580,1341060,1211,99
806,-580440,1910880,1211,99
807,865740,1799730,1211,99
808,-1081920,2636070,1211,99
809,-1106700,1858440,1211,99
810,784410,2597610,1211,99
811,584790,936330,1211,99
812,1705110,2073180,1211,99
813,289500,1758090,1211,99
814,-346020,1727070,1211,99
815,1975950,2430330,1211,99
816,1306380,2151540,1211,99
817,-98820,1985520,1211,99
818,-540630,1324290,1211,99
819,1150350,1304010,1211,99
820,-914550,989850,1211,99
821,-1724220,1651980,1211,99
822,-425670,2049510,1211,99
823,-2018880,1873110,1211,99
824,-9420,1394910,1211,99
825,485130,986490,1211,99
826,1008180,1063290,1211,99
827,-750420,2057550,1211,99
828,-1530840,1802160,1211,99
829,1503690,1705050,1211,99
830,-1122030,2287380,1211,99
831,630870,1605180,1211,99
832,1030770,976800,1211,99
833,193560,2086110,1211,99
834,-43890,1808520,1211,99
835,-2002890,1942710,1211,99
836,-1026570,1444740,1211,99
837,-1305330,2818320,1211,99
838,137610,2786550,1211,99
839,-240450,365490,1211,99
840,-7290,2178900,1211,99
841,-763650,2713590,1211,99
842,-1381680,1664310,1211,99
843,209940,1091070,1211,99
844,-1023510,2247210,1211,99
845,834240,1309740,1211,99
846,1062000,1056870,1211,99
847,1596210,2024220,1211,99
848,255600,2601600,1211,99
849,259620,2170560,1211,99
850,108060,2360520,1211,99
851,-409170,2072670,1211,99
852,-485700,1334760,1211,99
853,317130,2017860,1211,99
854,-1986840,2146500,1211,99
855,1090890,1642560,1211,99
856,2086050,2647050,1211,99
857,518190,1679460,1211,99
858,-714570,2061270,1211,99
859,-1542720,1669950,1211,99
860,-1032510,2243340,1211,99
861,-1523460,1614300,1211,99
862,655680,1727640,1211,99
863,-1786620,2734770,1211,99
864,104580,1602060,1211,99
865,336390,2531640,1211,99
866,840180,1717530,1211,99
867,-864000,2234400,1211,99
868,259020,1195650,1211,99
869,-1115520,2157330,1211,99
870,-707130,1982010,1211,99
871,-1668480,1181640,1211,99
872,-2122470,1792950,1211,99
873,887100,1922670,1211,99
